% degree N
7
% number of nodes
120
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-8.717401485096068E-01 -1.000000000000000E+00 -9.999999999999999E-01
-5.917001814331422E-01 -1.000000000000000E+00 -9.999999999999999E-01
-2.092992179024791E-01 -1.000000000000000E+00 -9.999999999999999E-01
2.092992179024788E-01 -1.000000000000000E+00 -9.999999999999999E-01
5.917001814331422E-01 -1.000000000000000E+00 -9.999999999999999E-01
8.717401485096066E-01 -1.000000000000000E+00 -9.999999999999999E-01
1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-1.000000000000000E+00 -8.717401485096067E-01 -9.999999999999999E-01
-8.252838167020655E-01 -8.252838167020661E-01 -9.999999999999999E-01
-5.022113703611155E-01 -8.066993054546144E-01 -9.999999999999999E-01
-9.895829633478348E-02 -8.020834073304335E-01 -9.999999999999999E-01
3.089106758157297E-01 -8.066993054546144E-01 -9.999999999999999E-01
6.505676334041317E-01 -8.252838167020659E-01 -9.999999999999999E-01
8.717401485096062E-01 -8.717401485096065E-01 -9.999999999999999E-01
-9.999999999999998E-01 -5.917001814331421E-01 -9.999999999999999E-01
-8.066993054546143E-01 -5.022113703611155E-01 -9.999999999999999E-01
-4.666714451319731E-01 -4.666714451319730E-01 -9.999999999999999E-01
-6.665710973605421E-02 -4.666714451319730E-01 -9.999999999999999E-01
3.089106758157298E-01 -5.022113703611155E-01 -9.999999999999999E-01
5.917001814331420E-01 -5.917001814331421E-01 -9.999999999999999E-01
-9.999999999999999E-01 -2.092992179024790E-01 -9.999999999999999E-01
-8.020834073304336E-01 -9.895829633478320E-02 -9.999999999999999E-01
-4.666714451319729E-01 -6.665710973605425E-02 -9.999999999999999E-01
-9.895829633478313E-02 -9.895829633478340E-02 -9.999999999999999E-01
2.092992179024789E-01 -2.092992179024791E-01 -9.999999999999999E-01
-1.000000000000000E+00 2.092992179024788E-01 -9.999999999999999E-01
-8.066993054546144E-01 3.089106758157298E-01 -9.999999999999999E-01
-5.022113703611155E-01 3.089106758157298E-01 -9.999999999999999E-01
-2.092992179024790E-01 2.092992179024788E-01 -9.999999999999999E-01
-1.000000000000000E+00 5.917001814331423E-01 -9.999999999999999E-01
-8.252838167020657E-01 6.505676334041315E-01 -9.999999999999999E-01
-5.917001814331423E-01 5.917001814331423E-01 -9.999999999999999E-01
-1.000000000000000E+00 8.717401485096063E-01 -9.999999999999999E-01
-8.717401485096066E-01 8.717401485096063E-01 -9.999999999999999E-01
-1.000000000000000E+00 9.999999999999999E-01 -9.999999999999999E-01
-9.999999999999999E-01 -1.000000000000000E+00 -8.717401485096067E-01
-8.252838167020657E-01 -1.000000000000000E+00 -8.252838167020659E-01
-5.022113703611155E-01 -9.999999999999999E-01 -8.066993054546143E-01
-9.895829633478354E-02 -9.999999999999999E-01 -8.020834073304334E-01
3.089106758157297E-01 -9.999999999999999E-01 -8.066993054546143E-01
6.505676334041317E-01 -1.000000000000000E+00 -8.252838167020657E-01
8.717401485096066E-01 -1.000000000000000E+00 -8.717401485096065E-01
-1.000000000000000E+00 -8.252838167020659E-01 -8.252838167020659E-01
-7.696978760915160E-01 -7.696978760915159E-01 -7.696978760915157E-01
